example_id,rule_id,wrong_text,correct_text,headline
E0001,R0001,Would a profile like this be of interest to you??,Does a profile like this pique your interest?,Remove multiple punctuation marks
E0002,R0003,I would like to show you the benefits we provide.,Are you interested in learning more about how you can benefit from us?,Avoid using the conditional
E0003,R0011,Not many,Only few changes,Use positive words
E0004,R0012,Hope you're not too busy to talk,Do you have a minute to talk?,Use positive words
E0005,R0013,I don't want to rush,Let's take it slow,Use positive words
E0006,R0014,I don't want to bother you if you're not interested,Is this valuable for you?,Use positive words
E0007,R0015,So you do not spend money,So you save money,Use positive words
E0008,R0016,Is there something you don't understand?,Is there something that needs explaining further?,Use positive words
E0009,R0017,You're not getting the most out of this,You can get more out of this,Use positive words
E0010,R0018,"In case you're not happy with the service, contact customer support","In case you feel like the service can be improved, contact customer support",Avoid 'Not'
E0011,R0019,I really don't want to come across...,This is meant to...,Avoid 'Not'
E0012,R0020,This should not come across...,This is meant to...,Avoid 'Not'
E0013,R0021,It's not about,It's about,Avoid 'Not'
E0014,R0022,I'm not familiar with this,This is something I have to further explore,Avoid 'Not'
E0015,R0023,This won't work,There has to be a better way,Show optimism
E0016,R0024,Don't lose,Keep,Avoid 'Not'
E0017,R0025,Don't miss,Secure,Avoid 'Not'
E0018,R0026,With us you won't have to,With us you will be able to,Avoid 'Not'
E0019,R0027,I didn't think this could happen,I did my best to avoid/prevent this from happening,Avoid 'Not'
E0020,R0029,I have not heard back from you,Is there anything you want or need help with to move forward on this?,Avoid stating the obvious
E0021,R0030,Please don't hesitate to reach out if you have questions,Are there any open questions or can we move forward on this?,Use direct questions
E0022,R0031,There is no better solution,This is the best solution,Avoid 'No'
E0023,R0032,You will not regret it,You will love it,Use positive words
E0024,R0033,It's never a mistake,It's always a good idea,Use positive words
E0025,R0034,It's never too late,It's the right time,Avoid 'Never'
E0026,R0039,No investment/ cost/ fee,Free,Avoid 'No'
E0027,R0039,"No hidden fees, ever.",You will always pay transparent fees.,Avoid 'No'
E0028,R0039,There is no subscription/cost for EV drivers to use all the above features and connect their home charger.,EV drivers can use all the above features for free and connect their home charger.,Avoid 'No'
E0029,R0039,"A person loads their payment sender wallet, and there are no transaction costs between nodes on the interledger.","A person loads their payment sender wallet, and there is zero transaction charge between nodes on the interledger.",Avoid 'No'
E0030,R0039,"We’ve got you covered with estimated footprints and there are no forms, no, audits, and no hidden costs or fees.",You're covered with estimated footprints and there are only transparent fees.,Avoid 'No'
E0031,R0039,This has no development costs and is perfect for the party equipment business,Developing this product for you is free and will be a perfect fit for the party equipment business.,Avoid 'No'
E0032,R0040,No risk,Safe,Avoid 'No'
E0033,R0041,I saw your profile and I think you are a great fit for this company,"Based on your skills in web design, you are a great fit for this company",Focus on your reader
E0034,R0041,"Hello, Just came across your profile and I have to say I was impressed with what I saw.",You have an impressive profile.,Focus on your reader
E0035,R0041,I saw that you're a fellow thought leader.,It seems like you're a fellow thought leader.,Focus on your reader
E0036,R0041,I saw your linkedin page.,You have an impressive LinkedIn page.,Focus on your reader
E0037,R0041,"I see that once the extension is minimised, the only way to get it back up is to analyse","Once the extension is minimised, the only way to get it back up is to analyse.",Focus on your reader
E0038,R0046,I wanted to show you how to cut your marketing spend,Companies comparable to yours save 12% of their marketing spend using this software,Focus on your reader's benefit
E0039,R0046,I would love to tell you more about this over the phone!,Are you open to talking about this over the phone today or early tomorrow?,Focus on your reader's benefit
E0040,R0046,I would like to request a username and password for my savings account.,Can you provide me with a username and password for the saving account?,Focus on your reader's benefit
E0041,R0046,I would love to introduce you to our software for customer engagement enhancement.,Are you interested in talking about the advantages of customer engagement software?,Focus on your reader's benefit
E0042,R0046,I would like to sort out this accommodation situation before I travel to India.,The priority is to sort out this accommodation situation before travelling to India.,Focus on your reader's benefit
E0043,R0046,I would love to connect to discuss a potential partnership.,Are you open to chatting about a partnership?,Focus on your reader's benefit
E0044,R0047,I was wondering if I can show you the progress I've made,You can have a look at the progress made,Focus on your reader
E0045,R0048,Let me show you what the product does,Have a look at what the product does,Focus on your reader
E0046,R0049,I'm looking forward to talking to you,Thanks for confirming our meeting for next week Thursday 06.03. at 1 PM,Give a reminder
E0047,R0052,"I recently came across your company, and I would love to show you how to streamline your processes","Your company is growing rapidly. With that kind of growth, streamlined processes can save time and money",Focus on your reader's benefit
E0048,R0052,"I saw your profile, and wanted to connect.",Are you open to connecting?,Focus on your reader's benefit
E0049,R0052,Hey Tony - I saw you signed up for Twain.,"Thank you, Tony, for signing up for Twain.",Focus on your reader's benefit
E0050,R0052,"Also, I saw that you recently changed the search status of your profile.","Based on your profile's recently changed search status, this opportunity can be a great fit for you.",Focus on your reader's benefit
E0051,R0052,Now here’s how I think we could work together…,Following the reasons how you will benefit from working together.,Focus on your reader's benefit
E0052,R0052,Really happy that I've found Acme!,Acme is exciting.,Focus on your reader's benefit
E0053,R0052,I saw your recent blog post about engagement for publishers.,Your recent blog post about engagement for publishing was a great read.,Focus on your reader's benefit
E0054,R0053,I wanted to show you what the product does,Have a look at what the product does,Focus on your reader
E0055,R0053,I want to present on how we help you find tech talent.,"Have you covered the hiring process, or are you open to finding tech talent?",Focus on your reader
E0056,R0053,I want to introduce the latest version of Twain.,The latest version of Twain is here for you.,Focus on your reader
E0057,R0054,I hope you're doing well,How was your trip to the ocean? Did you catch some sunshine?,Show sincerity
E0058,R0055,I have shared the presentation with you,You now have access to the presentation,Encourage your reader
E0059,R0056,We make software to reduce marketing spend,Companies comparable to yours save 12% of their marketing spend using this software,Focus on your reader's benefit
E0060,R0056,We're the best service to localise apps,You will benefit from having the best service to localise apps with us.,Focus on your reader's benefit
E0061,R0056,We're a platform that connect trainers with clients.,Clients like you benefit from connecting with trainers through the platform.,Focus on your reader's benefit
E0062,R0056,"Welcome to Acme, we are the leading restaurant delivery business providing 5x faster deliveries","Welcome to Acme, the leading restaurant delivery business, providing 5x faster deliveries.",Focus on your reader's benefit
E0063,R0056,"We work on a 'no cure, no fee' basis.",You will pay only after getting results.,Focus on your reader's benefit
E0064,R0056,and we make every stakeholder happy!,Every stakeholder who has cooperated with us is happy.,Focus on your reader's benefit
E0065,R0057,Our product reduces time spent making orders,Companies similar to yours reduced time spent making orders by 60%,Focus on your reader's benefit
