rule_id,headline,description,cost,exception_patterns,patterns,priority,category_name,enabled
R0001,Remove multiple punctuation marks,Closing a sentence with multiple punctuation marks gives the reader a negative feeling that you are pressuring them or acting impatient. Keep the tone positive by not overusing them.,1,[],"[[{'TAG': '.', 'POS': 'PUNCT', 'OP': '+', 'LOWER': {'IN': ['?', '.', '!']}}, {'POS': 'SPACE', 'OP': '?'}, {'TAG': '.', 'POS': 'PUNCT', 'OP': '+', 'LOWER': {'IN': ['?', '.', '!']}}]]",1,Positivity,True
R0003,Avoid using the conditional,"The verb ‘would’ can appear unconfident or convey possibility that an action won't happen. To encourage a response and show authority, rephrase without 'would'.",3,['if.*would.*\\?'],"[[{'LOWER': {'IN': ['would', ""'d"", '’d']}}]]",1,Confidence,True
R0011,Use positive words,Phrase your sentences in a positive way. Avoid negative words in order to create a positive connection with your reader.,2,[],"[[{'LOWER': 'not'}, {'LOWER': 'many'}]]",3,Positivity,True
R0012,Use positive words,Phrase your sentences in a positive way. Avoid negative words in order to create a positive connection with your reader.,3,[],"[[{'LOWER': 'hope'}, {'NORM': 'you'}, {'LEMMA': 'be'}, {'LOWER': 'not'}, {'LOWER': 'too'}, {'LOWER': {'IN': ['busy', 'swamped', 'snowed', 'occupied']}}], [{'LOWER': 'if'}, {'NORM': 'you'}, {'LEMMA': 'be'}, {'LOWER': 'not'}, {'LOWER': 'too'}, {'LOWER': {'IN': ['busy', 'swamped', 'snowed', 'occupied']}}], [{'LOWER': 'in'}, {'LOWER': 'case'}, {'NORM': 'you'}, {'LEMMA': 'be'}, {'LOWER': 'not'}, {'LOWER': 'too'}, {'LOWER': {'IN': ['busy', 'swamped', 'snowed', 'occupied']}}]]",3,Positivity,True
R0013,Use positive words,Whatever you say will create an image in your reader's mind. It's important to use positive phrases to keep the conversation positive.,4,[],"[[{'LOWER': 'i'}, {'IS_SENT_START': False, 'OP': '?'}, {'NORM': 'do'}, {'NORM': 'not'}, {'LOWER': 'want'}, {'LOWER': 'to'}, {'LOWER': {'IN': ['rush', 'pressure', 'stress', 'hurry', 'press', 'push']}}], [{'LOWER': 'not'}, {'LOWER': 'to'}, {'LOWER': {'IN': ['rush', 'pressure', 'stress', 'hurry', 'press', 'push']}}], [{'LOWER': 'no'}, {'LOWER': {'IN': ['rush', 'pressure', 'stress', 'hurry', 'press', 'push']}}]]",3,Positivity,True
R0014,Use positive words,Whatever you say will create an image in your reader's mind. It's important to use positive phrases to keep the conversation positive.,4,[],"[[{'LOWER': 'i'}, {'IS_SENT_START': False, 'OP': '?'}, {'NORM': 'do'}, {'NORM': 'not'}, {'LOWER': {'IN': ['want', 'wanted']}}, {'LOWER': 'to'}, {'LOWER': {'IN': ['bother', 'disturb', 'annoy', 'bore', 'nag', 'trouble']}}, {'LOWER': 'you'}], [{'LOWER': {'IN': ['sorry', 'excuse']}}, {'LOWER': {'IN': ['to', 'for']}}, {'LOWER': {'IN': ['bother', 'bothering', 'disturbing', 'disturb', 'annoy', 'annoying', 'boring', 'bore', 'nag', 'nagging', 'troubling', 'trouble']}}, {'LOWER': 'you'}], [{'LOWER': {'IN': ['sorry', 'excuse']}}, {'LOWER': 'if'}, {'LOWER': 'i'}, {'IS_SENT_START': False, 'OP': '?'}, {'LOWER': {'IN': ['bother', 'bothering', 'bothered', 'troubled', 'disturbed', 'annoyed', 'bored', 'disturbing', 'disturb', 'annoy', 'annoying', 'boring', 'bore', 'nag', 'nagging', 'troubling', 'trouble']}}, {'LOWER': 'you'}]]",3,Positivity,True
R0015,Use positive words,Whatever you say will create an image in your reader's mind. It's important to use positive phrases to keep the conversation positive.,3,[],"[[{'LOWER': {'IN': ['your', 'you']}}, {'IS_SENT_START': False, 'OP': '?'}, {'NORM': 'do'}, {'NORM': 'not'}, {'LOWER': {'IN': ['waste', 'spend', 'burn', 'lose', 'exhaust', 'squander', 'drain', 'splurge']}}, {'IS_SENT_START': False, 'OP': '*'}, {'LOWER': {'IN': ['money', 'time', 'resources', 'capital', 'funds', 'fund']}}], [{'LEMMA': 'to'}, {'NORM': 'avoid'}, {'LOWER': {'IN': ['wasting', 'spending', 'burning', 'losing', 'exhausting', 'squandering', 'draining', 'splurging']}}, {'IS_SENT_START': False, 'OP': '*'}, {'LOWER': {'IN': ['money', 'time', 'resources', 'capital', 'funds', 'fund']}}]]",3,Positivity,True
R0016,Use positive words,Whatever you say will create an image in your reader's mind. It's important to use positive phrases to keep the conversation positive.,3,[],"[[{'LOWER': 'you'}, {'NORM': 'do'}, {'NORM': 'not'}, {'LOWER': {'IN': ['understand', 'get', 'comprehend', 'figure', 'follow', 'grasp']}}, {'IS_SENT_START': False, 'OP': '*'}, {'LOWER': '?'}], [{'LOWER': 'you'}, {'NORM': 'can'}, {'NORM': 'not'}, {'LOWER': {'IN': ['understand', 'get', 'comprehend', 'figure', 'follow', 'grasp']}}, {'IS_SENT_START': False, 'OP': '*'}, {'LOWER': '?'}], [{'LOWER': 'what'}, {'NORM': 'do'}, {'NORM': 'not'}, {'LOWER': 'you'}, {'LOWER': {'IN': ['understand', 'get', 'comprehend', 'figure', 'follow', 'grasp']}}, {'LOWER': '?'}], [{'LOWER': 'what'}, {'NORM': 'can'}, {'NORM': 'not'}, {'LOWER': 'you'}, {'LOWER': {'IN': ['understand', 'get', 'comprehend', 'figure', 'follow', 'grasp']}}, {'LOWER': '?'}]]",3,Positivity,True
R0017,Use positive words,Whatever you say will create an image in your reader's mind. It's important to use positive phrases to keep the conversation positive.,3,[],"[[{'NORM': 'you'}, {'LEMMA': 'be'}, {'NORM': 'not'}, {'LOWER': 'getting'}, {'LOWER': 'the'}, {'LOWER': {'IN': ['best', 'most']}}, {'LOWER': 'out'}], [{'NORM': 'you'}, {'LEMMA': 'be'}, {'NORM': 'not'}, {'LOWER': 'benefitting'}, {'LOWER': 'from'}], [{'NORM': 'you'}, {'LEMMA': 'be'}, {'NORM': 'not'}, {'LOWER': 'taking'}, {'LOWER': 'advantage'}], [{'NORM': 'you'}, {'LEMMA': 'be'}, {'NORM': 'not'}, {'LOWER': {'IN': ['profiting', 'capitalizing', 'exploiting']}}], [{'NORM': 'you'}, {'LEMMA': 'be'}, {'NORM': 'not'}, {'LOWER': 'reaping'}, {'LOWER': 'the'}, {'LOWER': 'benefit'}], [{'NORM': 'you'}, {'LEMMA': 'be'}, {'NORM': 'not'}, {'LOWER': 'making'}, {'LOWER': 'the'}, {'LOWER': 'most'}], [{'NORM': 'you'}, {'LEMMA': 'be'}, {'NORM': 'not'}, {'LOWER': 'making'}, {'LOWER': 'good'}, {'LOWER': 'use'}]]",3,Positivity,True
R0018,Avoid 'Not',Avoid using 'not' as this will negatively influence your reader's subconscious. Don't explicitly show you expect them to be dissatisfied. Rather suggest how this can be resolved in case they are.,2,[],"[[{'LOWER': 'in'}, {'LOWER': 'case'}, {'NORM': 'you'}, {'LEMMA': 'be'}, {'NORM': 'not'}, {'LOWER': {'IN': ['satisfied', 'happy', 'convinced', 'content', 'pleased', 'thrilled']}}, {'LOWER': 'with'}], [{'LOWER': 'if'}, {'NORM': 'you'}, {'LEMMA': 'be'}, {'NORM': 'not'}, {'LOWER': {'IN': ['satisfied', 'happy', 'convinced', 'content', 'pleased', 'thrilled']}}, {'LOWER': 'with'}], [{'LOWER': 'in'}, {'LOWER': 'the'}, {'LOWER': 'event'}, {'IS_SENT_START': False, 'OP': '?'}, {'NORM': 'you'}, {'LEMMA': 'be'}, {'NORM': 'not'}, {'LOWER': {'IN': ['satisfied', 'happy', 'convinced', 'content', 'pleased', 'thrilled']}}, {'LOWER': 'with'}], [{'LOWER': 'supposing'}, {'NORM': 'you'}, {'LEMMA': 'be'}, {'NORM': 'not'}, {'LOWER': {'IN': ['satisfied', 'happy', 'convinced', 'content', 'pleased', 'thrilled']}}, {'LOWER': 'with'}], [{'LOWER': 'it'}, {'LOWER': {'IN': ['might', 'could', 'may']}}, {'LOWER': 'be'}, {'LOWER': 'that'}, {'NORM': 'you'}, {'LEMMA': 'be'}, {'NORM': 'not'}, {'LOWER': {'IN': ['satisfied', 'happy', 'convinced', 'content', 'pleased', 'thrilled']}}, {'LOWER': 'with'}]]",3,Positivity,True
